date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor,pred__NaiveModel
2026-05-03,AMZN,_NaiveModel,0.0,HOLD,0.00%,1.08%,-0.72%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,ASML,_NaiveModel,0.0,HOLD,0.00%,6.28%,14.43%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,AVGO,_NaiveModel,0.0,HOLD,0.00%,-2.07%,-1.69%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,BRK-B,_NaiveModel,0.0,HOLD,0.00%,0.44%,2.83%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-03,CAT,_NaiveModel,0.0,HOLD,0.00%,0.68%,-1.10%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-03,COST,_NaiveModel,0.0,HOLD,0.00%,0.04%,1.63%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-03,CRM,_NaiveModel,0.0,HOLD,0.00%,1.37%,-2.04%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,GOOGL,_NaiveModel,0.0,HOLD,0.00%,3.19%,-0.71%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,JNJ,_NaiveModel,0.0,HOLD,0.00%,-2.06%,3.15%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,JPM,_NaiveModel,0.0,HOLD,0.00%,-1.98%,-1.95%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,LLY,_NaiveModel,0.0,HOLD,0.00%,1.21%,10.55%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,LMT,_NaiveModel,0.0,HOLD,0.00%,-0.07%,3.99%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-03,MA,_NaiveModel,0.0,HOLD,0.00%,1.11%,0.62%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,MCD,_NaiveModel,0.0,HOLD,0.00%,-1.03%,-1.52%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,META,_NaiveModel,0.0,HOLD,0.00%,1.32%,0.25%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,MRK,_NaiveModel,0.0,HOLD,0.00%,0.12%,9.14%,Acierto,-,-,-,-,-,-,NEUTRO
2026-05-03,MSFT,_NaiveModel,0.0,HOLD,0.00%,1.53%,1.00%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,NEE,_NaiveModel,0.0,HOLD,0.00%,-3.74%,-8.66%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,NVDA,_NaiveModel,0.0,HOLD,0.00%,6.58%,8.51%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,ORCL,_NaiveModel,0.0,HOLD,0.00%,13.25%,11.78%,Fallo,-,-,-,-,-,-,NEUTRO
2026-05-03,PG,_NaiveModel,0.0,HOLD,0.00%,-0.81%,-1.91%,Acierto,-,-,-,-,-,-,NEUTRO
